* Partlist from file: "Didaktik-Kompakt-ver23.lay6" [Didaktik Kompakt v2.3] / 10. 3. 2025 11:04:12
*
* No	Name	Value	Comment
*
1	BR1	B801500R	
2	C1	10uF	
3	C2	10n	
4	C3	10uF	
5	C4	150n	
6	C5	33p	
7	C6	10uF	
8	C7	22p	
9	C8	220p	
10	C9	2x	
11	C10	10uF	
12	C11	10uF	
13	C12	10uF	
14	C13	560	
15	C14	560	
16	C15	560	
17	C16	1n	
18	C17	100n	
19	C18	100n	
20	C19	10n	
21	C20	10n	
22	C21	1n	mica
23	C22	100n	
24	C23	10n	
25	C24	1n	
26	C25	1000uF	
27	C26	100n	
28	C27	100n	
29	C28	100uF	
30	C29	100uF	
31	C30	6.8uF	
32	C31	100uF	
33	C32	100n	
34	C33	100uF	
35	C34	100uF	
36	C35	100uF	
37	C36	100uF	
38	C37	100n	
39	C38	100n	
40	C39	100n	
41	C40	100n	
42	C41	100n	
43	C42	100n	
44	C43	100n	
45	C44	100n	
46	C44	100n	
47	C46	100n	
48	C47	100uF	
49	C48	1n	
50	C49	100n	
51	C50	68n	
52	C51	1000uF	
53	C52	1000uF	
54	C53	100uF	
55	C54	47P	
56	C55	47p	
57	C56	470uF	
58	C57	82p	
59	C58	68n	
60	C59	68n	
61	C60	1n	
62	CC-LIC		
63	D1	KA206	
64	D2	KA206	
65	D3	KA206	
66	D4	KA206	
67	D6	KY199	
68	F1	0.16A	
69	F2	1.6A	
70	IC1	PLA	
71	IC2	Z80A CPU	
72	IC3	27256	
73	IC4	4464	
74	IC5	4464	
75	IC6	TL494	
76	IC7	GAL16V8	
77	IC8	GAL16V8	
78	IC9	GAL16V8	
79	IC10	8255	
80	IC11	MC1377	
81	IC12	74LS74	
82	IC13	74LS123	
83	IC14	74LS74	
84	IC15	74LS07	
85	IC16	74LS07	
86	IC17	74LS32	
87	IC20	74LS03	
88	IC21	74LS04	
89	IC22	74LS04	
90	IC23	LM311	
91	IC24	7812	
92	IC26	GM82C765B	
93	J1		
94	J4		
95	K1	SYSTEM BUS	
96	K2	FDD	
97	K3	EXTENDED	
98	K4	INTERFACE	
99	K5	KEMPSTON	
100	K6	SINCLAIR	
101	K7	Keyboard	
102	K8	TAPE I/O	
103	K11	SCART	
104	K12	VID OUT	
105	K1_BOTTOM	SYSTEM BUS	
106	K3_BOTTOM	EXTENDED	
107	K4_BOTTOM	INTERFACE	
108	L1	1mH	
109	R1	560k	
110	R2	4k7	
111	R3	470	
112	R4	180	
113	R5	6k8	
114	R6	6k8	
115	R7	6k8	
116	R8	470	
117	R9	470	
118	R10	470	
119	R11	39k	
120	R12	2k2	
121	R13	470	
122	R14	2k2	
123	R15	10k	
124	R16	1M5	
125	R17	39k	
126	R18	4k7	
127	R19	4k7	
128	R20	2k2	
129	R21	1k	
130	R22	1k	
131	R23	1k	
132	R24	180	
133	R25	180	
134	R26	180	
135	R27	180	
136	R28	180	
137	R29	180	
138	R30	220	
139	R31	1k	
140	R32	10k	
141	R33	2k2	
142	R34	1k	
143	R35	100	
144	R36	1k	
145	R37	220	
146	R38	75	
147	R39	51k	
148	R41	220k	
149	R42	470	
150	R43	100	
151	R43	4k7	
152	R44	4k7	
153	R45	1M	
154	R46	470	
155	R47	1k	
156	R48	1k	
157	R49	22k	
158	R50	22k	
159	R51	22k	
160	R52	10k	
161	R53	470	
162	R54	4k7	
163	R55	47k	
164	R56	47k	
165	R57	1R	
166	R58	4k7	
167	R59	1R	
168	R60	5k6	
169	R61	39k	
170	R62	10k	
171	R63	10k	
172	R64	00	
173	R65	470	
174	R66	39k	
175	R67	1R	
176	R68	1R	
177	RN1	1k	
178	RN2	1k	
179	RN3	2k2	
180	RN4	10k	
181	RN5	2k2	
182	RN6	10k	
183	RN7	10k	
184	RN8	470	
185	T1	BD238	
186	T2	KC237	
187	T3	KC237	
188	T4	KC237	
189	T5	KC237	
190	T6	KC636	
191	TR1	220V/13V/1A	
192	X1	16MHz	
193	X2	4.433MHz	
