* Partlist from file: "Didaktik-M92.lay6" [Didaktik_M_92] / 10. 3. 2025 11:22:24
*
* No	Name	Value	Comment
*
1	C1	20uF	
2	C2	2uF	
3	C3	10n	
4	C4	33p	
5	C5	10n	
6	C6	33p	
7	C7	10n	
8	C8	10n	
9	C9	1n	mica
10	C10	22p	
11	C11	47uF	
12	C12	6.8uF	
13	C13	47uF	
14	C14	47uF	
15	C15	47uF	
16	C16	47uF	
17	C17	47uF	
18	C18	3.3uF	
19	C19	3.3uF	
20	C20	3.3uF	
21	C21	150n	
22	C22	100n	
23	C23	100n	
24	C24	100n	
25	C25	100n	
26	C26	100n	
27	C27	100n	
28	C28	100n	
29	C29	100n	
30	C30	100n	
31	C31	100n	
32	C32	100n	
33	C35	100n	
34	C36	560p	
35	C37	560p	
36	C38	560p	
37	C41	100n	
38	C42	100n	
39	C43	220p	
40	C44	220p	
41	C99	33p	
42	CC-LIC		
43	D16	KA206	
44	D17	KA206	
45	D1.	KA206	
46	D2.	KA206	
47	IC1	74LS04	
48	IC2	74LS74	
49	IC3	PLA	
50	IC4	Z80A CPU	
51	IC5	27128	
52	IC6	74LS244	
53	IC7	LM311	
54	IC8	74LS32	
55	IC10	74LS07	
56	IC11	MC1377	
57	IC12	4464	
58	IC13	4464	
59	IC14	74LS10	
60	IC15	74LS10	
61	IC16	74LS32	
62	IC17	74LS07	
63	IC18	74LS07	
64	J1	KEYBOARD	
65	R1	1k	
66	R2	1k	
67	R3	1k	
68	R4	1k	
69	R5	1k	
70	R6	1k	
71	R7	1k	
72	R8	1k	
73	R9	470	
74	R10	10k	
75	R11	10k	
76	R12	680	
77	R14	680	
78	R15	39k	
79	R16	4k7	
80	R17	2k2	
81	R18	4k7	
82	R19	470	
83	R20	180	
84	R21	2k2	
85	R22	3k9	
86	R23	3k9	
87	R24	3k9	
88	R25	3k9	
89	R26	3k9	
90	R27	220	
91	R28	100	
92	R29	75	
93	R30	1k5	
94	R31	1k	
95	R32	22k	
96	R33	220k	
97	R34	2k2	
98	R35	2K2	
99	R36	2k2	
100	R37	2k2	
101	R38	2k2	
102	R39	10K	
103	R40	10K	
104	R41	470	
105	R42	1k	
106	R43	1k	
107	R44	180	
108	R45	1k	
109	R46	180	
110	R47	180	
111	R48	51k	
112	R49	10k	
113	R50	2k2	
114	R51	1k	
115	R52	1k	
116	R53	180	
117	R54	180	
118	R55	180	
119	R56	2K2	
120	R57	470	
121	R58	470	
122	R59	470	
123	R60	470	
124	R61	470	
125	R62	470	
126	R64	470	
127	R65	220	
128	R66	22k	
129	R67	22k	
130	R68	1M5	
131	T1	KC635	
132	T2	KC237	
133	X1	16 MHz	
134	X2	4.433 MHz	
135	ZD1	KZ260/13	
